1,37,1,1,1,0
6,10,1,1,3,1
11,24,1,1,3,0
16,66,1,1,4,0
16,27,1,-1,1,3
21,51,1,1,4,0
21,9,1,1,3,1
21,7,1,1,1,3
26,27,1,1,2,3
31,22,1,1,2,0
31,8,1,1,2,0
36,45,1,1,5,0
36,37,1,-1,1,4
41,68,1,1,5,1
46,52,1,1,4,1
51,18,1,1,7,0
56,29,1,1,1,2
61,15,1,1,4,2
61,14,1,1,2,4
66,1,1,1,2,1
71,52,1,1,3,1
76,27,1,1,1,2
81,34,1,1,3,3
86,1,1,1,2,0
91,13,1,1,4,0
96,57,1,1,2,0
101,24,1,1,1,0
101,47,1,1,4,0
106,26,1,-1,2,2
106,41,1,1,2,1
106,69,1,1,3,1
111,7,1,1,2,0
116,34,1,1,3,0
121,10,1,1,2,1
126,33,1,1,4,1
131,7,1,1,5,1
136,66,1,1,4,0
141,52,1,1,6,0
146,2,1,1,6,0
151,38,1,1,2,1
156,41,1,1,4,1
161,38,1,1,3,1
166,30,1,1,4,0
171,19,1,1,5,0
196,5,1,1,2,0
206,68,1,1,1,0
211,55,1,1,2,0
216,41,1,1,0,0
221,3,1,1,1,0
226,56,1,1,1,1
231,71,1,1,0,0
236,38,1,1,1,0
261,59,1,1,0,0
266,6,1,1,1,0
271,2,1,1,0,0
276,21,1,1,1,1
1,49,2,1,0,0
6,10,2,1,1,1
6,50,2,1,3,1
11,24,2,1,4,0
18,12,2,1,2,0
21,1,2,1,0,0
28,39,2,1,0,1
28,22,2,1,1,0
38,61,2,1,1,1
38,30,2,-1,1,1
41,39,2,1,4,0
41,68,2,-1,5,0
48,63,2,1,2,0
48,24,2,1,1,1
51,18,2,1,5,0
51,8,2,-1,3,2
51,54,2,1,2,2
60,41,2,1,1,0
61,63,2,1,3,2
61,27,2,-1,3,3
70,47,2,1,1,0
70,17,2,1,0,1
71,35,2,1,2,2
80,10,2,1,0,0
80,24,2,1,0,0
81,26,2,1,2,3
81,34,2,1,2,3
90,38,2,1,1,0
91,31,2,1,1,3
91,6,2,1,2,2
98,5,2,1,0,2
98,52,2,1,1,1
98,35,2,-1,1,1
101,47,2,1,0,0
101,24,2,1,0,0
118,20,2,1,1,0
118,29,2,-1,0,0
118,31,2,1,0,0
118,33,2,-1,0,0
121,11,2,-1,0,1
121,65,2,1,2,1
121,10,2,1,3,1
129,18,2,1,0,0
131,107,2,1,0,0
131,7,2,1,4,1
139,10,2,1,0,0
139,56,2,1,0,0
139,4,2,-1,0,0
141,52,2,1,4,0
149,47,2,1,1,0
151,11,2,-1,2,1
151,38,2,1,3,1
158,11,2,1,0,0
158,19,2,1,1,0
163,6,2,1,1,0
163,22,2,1,1,0
163,17,2,-1,0,1
163,18,2,1,1,0
166,12,2,1,2,1
166,30,2,1,3,0
166,22,2,1,1,2
175,51,2,1,0,0
178,41,2,1,1,0
178,65,2,1,1,0
181,35,2,-1,0,4
181,22,2,1,4,0
190,20,2,1,0,0
193,10,2,1,2,0
196,24,2,1,0,1
196,5,2,1,0,0
203,54,2,1,3,0
203,62,2,1,3,0
213,14,2,1,1,0
213,71,2,1,1,0
216,41,2,1,1,0
216,20,2,1,0,0
223,30,2,1,1,0
223,18,2,-1,2,0
226,56,2,1,3,1
226,48,2,1,1,2
233,124,2,1,0,0
236,17,2,-1,0,2
236,38,2,1,3,0
243,35,2,-1,0,2
243,24,2,1,2,0
246,20,2,1,3,0
253,48,2,1,0,0
263,24,2,1,1,1
263,29,2,-1,1,1
263,56,2,1,0,2
267,71,2,1,2,0
267,54,2,-1,1,1
267,58,2,-1,1,1
267,61,2,1,2,0
271,2,2,1,3,0
277,24,2,1,0,1
277,16,2,-1,2,0
277,35,2,1,0,0
277,21,2,1,0,0
5,9,5,1,1,0
8,62,5,1,2,0
13,72,5,1,1,0
17,31,5,-1,1,0
17,66,5,1,0,0
17,12,5,1,1,0
28,55,5,1,0,0
28,51,5,1,0,0
28,39,5,-1,0,0
36,35,5,1,0,0
36,48,5,1,0,0
36,32,5,-1,0,0
36,37,5,-1,0,0
36,45,5,1,0,0
43,11,5,1,0,0
43,35,5,1,0,0
43,55,5,1,0,0
47,43,5,-1,0,0
47,66,5,-1,0,1
47,47,5,1,1,0
51,18,5,1,1,0
51,8,5,1,1,0
57,19,5,1,1,0
57,7,5,1,1,1
63,62,5,1,0,0
67,17,5,1,1,1
67,47,5,1,1,1
67,34,5,1,2,0
71,52,5,1,0,1
71,35,5,1,0,1
