27	37	1	2012-09-04 05:38:26
27	95	1	2012-09-05 05:32:34
27	98	1	2012-09-05 05:32:34
29	74	-1	2012-09-04 06:18:57
29	95	1	2012-09-04 06:19:21
29	98	1	2012-09-04 06:19:23
14	48	1	2012-09-04 17:21:08
2	49	1	2012-09-04 17:21:10
14	58	1	2012-09-04 17:21:20
14	42	-1	2012-09-04 17:21:31
14	27	-1	2012-09-04 17:21:35
13	43	-1	2012-09-04 17:22:47
1	37	1	2012-09-04 17:22:48
26	67	-1	2012-09-04 17:22:50
10	4	-1	2012-09-04 17:23:04
7	48	1	2012-09-04 17:23:04
7	26	1	2012-09-04 17:23:05
10	49	-1	2012-09-04 17:23:09
9	24	1	2012-09-04 17:23:11
7	5	-1	2012-09-04 17:23:13
9	68	1	2012-09-04 17:23:14
7	54	-1	2012-09-04 17:23:14
7	45	-1	2012-09-04 17:23:15
9	9	-1	2012-09-04 17:23:17
21	4	1	2012-09-04 17:23:18
7	49	1	2012-09-04 17:25:49
9	3	-1	2012-09-04 17:24:44
21	7	-1	2012-09-04 17:23:24
9	49	-1	2012-09-04 17:23:26
9	13	-1	2012-09-04 17:23:26
26	36	-1	2012-09-04 17:23:34
26	37	1	2012-09-04 17:23:43
21	66	-1	2012-09-04 17:23:49
18	9	-1	2012-09-04 17:23:54
21	49	1	2012-09-04 17:24:00
21	40	-1	2012-09-04 17:24:04
23	40	-1	2012-09-04 17:24:07
21	23	-1	2012-09-04 17:24:08
26	64	-1	2012-09-04 17:24:11
23	23	1	2012-09-04 17:24:12
23	4	1	2012-09-04 17:24:13
10	23	-1	2012-09-04 17:24:21
23	66	1	2012-09-04 17:24:22
13	42	-1	2012-09-04 17:24:25
23	7	1	2012-09-04 17:24:25
18	3	-1	2012-09-04 17:24:30
23	49	-1	2012-09-04 17:24:32
13	30	-1	2012-09-04 17:24:33
13	21	-1	2012-09-04 17:24:34
18	24	1	2012-09-04 17:24:36
24	67	1	2012-09-04 17:24:37
24	49	-1	2012-09-04 17:25:18
19	5	1	2012-09-04 17:24:45
26	55	1	2012-09-04 17:24:46
10	66	1	2012-09-04 17:24:47
19	45	1	2012-09-04 17:24:49
19	49	1	2012-09-04 17:24:50
26	49	1	2012-09-04 17:24:57
14	68	1	2012-09-04 17:25:14
10	40	1	2012-09-04 17:25:09
14	24	-1	2012-09-04 17:25:10
13	34	1	2012-09-04 17:25:12
13	9	1	2012-09-04 17:25:14
18	68	-1	2012-09-04 17:25:21
24	36	1	2012-09-04 17:25:23
6	36	-1	2012-09-04 17:25:24
24	55	1	2012-09-04 17:25:30
6	49	1	2012-09-04 17:25:30
24	37	1	2012-09-04 17:25:31
10	4	-1	2012-09-04 17:25:36
24	64	-1	2012-09-04 17:25:37
14	13	1	2012-09-04 17:25:37
5	9	1	2012-09-04 17:25:38
10	33	-1	2012-09-04 17:25:40
6	67	1	2012-09-04 17:25:47
6	55	1	2012-09-04 17:25:52
10	39	-1	2012-09-04 17:25:52
6	37	-1	2012-09-04 17:25:54
6	64	-1	2012-09-04 17:25:55
18	49	1	2012-09-04 17:25:55
13	62	1	2012-09-04 17:25:58
24	48	-1	2012-09-04 17:26:03
27	49	1	2012-09-04 17:26:04
24	66	1	2012-09-04 17:26:05
9	48	-1	2012-09-04 17:26:06
19	54	-1	2012-09-04 17:26:12
18	13	1	2012-09-04 17:26:12
10	55	1	2012-09-04 17:26:13
24	56	1	2012-09-04 17:26:14
10	34	-1	2012-09-04 17:26:20
19	48	-1	2012-09-04 17:26:22
26	62	1	2012-09-04 17:26:25
19	26	-1	2012-09-04 17:26:25
7	30	-1	2012-09-04 17:51:22
21	25	1	2012-09-04 17:29:44
10	67	-1	2012-09-04 17:26:32
9	11	-1	2012-09-04 17:26:33
9	15	-1	2012-09-04 17:26:34
24	11	1	2012-09-04 17:26:37
9	65	1	2012-09-04 17:26:37
9	56	-1	2012-09-04 17:26:39
9	66	1	2012-09-04 17:26:41
26	27	-1	2012-09-04 17:26:42
8	67	-1	2012-09-04 17:26:42
6	50	-1	2012-09-04 17:26:42
8	49	1	2012-09-04 17:26:44
6	63	-1	2012-09-04 17:26:44
8	36	1	2012-09-04 17:26:45
26	48	1	2012-09-04 17:26:48
8	64	-1	2012-09-04 17:26:52
6	10	1	2012-09-04 17:26:53
27	26	1	2012-09-04 17:26:56
