1	56	49	1	0.4818	31	0.9711	0.8	18	0.9556	0.8636		1	0.8545
10	335	53	0.8216	0.7119	34	0.7918	0.7328	19	0.7246	0.7254		0.7638	0.7284
13	337	53	0.8907	0.7836	34	0.8363	0.8134	19	0.6048	0.4925		0.7778	0.7328
14	150	53	0.9833	0.5833	34	0.8608	0.7367	19	0.7025	0.5833		0.7667	0.65
17	143	52	0.9377	0.6034	33	0.8728	0.7345	19	0.6667	0.5		0.8132	0.6759
18	323	53	0.7337	0.5692	34	0.6942	0.5954	19	0.6411	0.5723		0.6504	0.5662
19	330	53	0.7867	0.703	34	0.7765	0.7288	19	0.5932	0.4606		0.7383	0.6909
2	99	53	1	0.765	34	0.9329	0.72	19	0.8215	0.685		0.8684	0.715
21	228	53	0.8247	0.6609	34	0.7912	0.637	19	0.6451	0.5174		0.7297	0.6239
22	125	50	1	0.72	31	0.939	0.836	19	0.708	0.52		0.85	0.716
23	287	53	0.8583	0.7211	34	0.8339	0.7702	19	0.7213	0.6825		0.7913	0.7386
24	321	52	0.7887	0.6344	33	0.7494	0.6609	19	0.6638	0.5734		0.7016	0.6513
26	292	53	0.8526	0.7017	34	0.8068	0.7	19	0.6132	0.4638		0.706	0.6879
27	98	53	1	0.69	34	0.9385	0.715	19	0.8218	0.675		0.9013	0.76
5	253	53	0.8559	0.6824	34	0.7842	0.6765	19	0.6317	0.5059		0.7079	0.6333
6	296	53	0.819	0.6881	34	0.7932	0.7288	19	0.619	0.5271		0.7456	0.6949
7	318	53	0.8614	0.7719	34	0.8508	0.8063	19	0.6362	0.5422		0.7299	0.6766
8	179	52	0.8545	0.5806	33	0.8203	0.6472	19	0.628	0.4194		0.7406	0.5889
9	225	53	0.835	0.6778	34	0.7761	0.6756	19	0.6683	0.6178		0.7122	0.5933
