1	36	2	2	4
1	37	5	1	6
1	49	5	1	6
1	55	4	0	4
1	64	0	4	4
1	67	2	2	4
2	4	2	1	3
2	7	1	1	2
2	23	1	2	3
2	40	1	2	3
2	49	1	2	3
2	66	2	1	3
3	3	0	2	2
3	9	0	2	2
3	13	2	1	3
3	24	2	1	3
3	49	1	1	2
3	68	2	1	3
4	5	1	1	2
4	26	1	1	2
4	45	1	1	2
4	48	1	1	2
4	49	2	0	2
4	54	0	2	2
5	9	2	0	2
5	21	0	1	1
5	30	0	1	1
5	34	1	0	1
5	42	0	1	1
5	43	0	1	1
6	10	5	1	6
6	25	1	3	4
6	28	1	3	4
6	33	0	4	4
6	50	4	1	5
6	63	1	3	4
7	4	0	2	2
7	33	0	2	2
7	34	0	2	2
7	39	1	1	2
7	55	2	0	2
7	67	0	2	2
8	27	0	3	3
8	33	0	2	2
8	42	0	3	3
8	48	2	1	3
8	58	3	0	3
8	62	3	0	3
9	26	2	0	2
9	30	1	1	2
9	33	0	1	1
9	44	2	0	2
9	45	2	0	2
9	52	0	2	2
9	64	1	1	2
10	11	1	1	2
10	15	1	1	2
10	48	0	2	2
10	56	1	1	2
10	65	1	1	2
10	66	2	0	2
11	8	2	2	4
11	14	3	1	4
11	24	6	0	6
11	31	0	4	4
11	40	1	4	5
11	53	2	3	5
12	10	3	0	3
12	11	2	1	3
12	25	3	0	3
12	34	2	1	3
12	37	2	1	3
12	53	2	1	3
13	3	2	1	3
13	10	0	3	3
13	26	3	0	3
13	49	1	2	3
13	68	2	1	3
13	72	2	2	4
14	2	2	0	2
14	15	1	0	1
14	26	0	1	1
14	34	1	0	1
14	55	0	1	1
14	65	1	1	2
15	1	1	1	2
15	19	1	1	2
15	32	1	1	2
15	57	2	0	2
15	61	0	2	2
15	62	2	0	2
16	25	3	1	4
16	27	1	4	5
16	54	1	3	4
16	56	1	3	4
16	66	5	0	5
16	72	2	2	4
17	5	0	3	3
17	12	4	0	4
17	31	2	2	4
17	42	3	0	3
17	46	2	1	3
17	66	1	3	4
18	7	3	0	3
18	12	4	0	4
18	19	1	2	3
18	20	0	3	3
18	52	2	1	3
18	60	2	1	3
19	19	1	1	2
19	23	0	1	1
19	26	0	1	1
19	39	1	1	2
19	46	1	0	1
19	63	2	0	2
20	3	2	0	2
20	4	1	1	2
20	15	2	0	2
20	28	1	1	2
20	41	0	2	2
20	57	0	2	2
21	1	2	2	4
21	5	0	4	4
21	7	2	3	5
21	8	1	3	4
21	9	4	1	5
21	51	5	0	5
22	2	1	3	4
22	9	2	2	4
22	10	2	2	4
22	24	2	2	4
22	36	0	4	4
22	70	1	3	4
23	2	3	0	3
23	6	2	1	3
23	56	1	2	3
23	57	3	0	3
23	62	3	0	3
23	69	2	1	3
24	13	2	0	2
24	24	0	1	1
24	34	1	0	1
24	57	1	0	1
25	3	1	0	1
25	20	2	0	2
25	49	0	1	1
25	58	0	2	2
25	67	0	1	1
26	6	4	1	5
26	10	3	2	5
26	18	3	3	6
26	27	3	3	6
26	41	3	2	5
26	45	3	3	6
27	12	1	1	2
27	14	0	2	2
27	21	1	1	2
27	27	1	1	2
27	39	1	1	2
27	64	0	2	2
28	3	1	1	2
28	4	1	1	2
28	22	3	0	3
28	39	1	3	4
28	51	2	0	2
28	55	2	1	3
29	3	0	1	1
29	13	2	0	2
29	21	0	1	1
29	43	1	0	1
29	46	1	0	1
29	51	2	0	2
29	57	0	1	1
29	59	0	1	1
30	19	1	1	2
30	20	1	1	2
30	32	0	2	2
30	60	1	1	2
30	61	0	2	2
30	69	1	1	2
31	8	3	0	3
31	12	1	1	2
31	22	3	0	3
