1	1	1
1	2	0
1	17	0
1	4	0
1	19	0
1	6	0
1	18	0
2	16	1
2	8	0
2	15	0
2	14	0
3	10	1
3	12	0
3	7	0
3	11	0
4	13	1
4	5	0
5	3	1
5	9	0
6	1	1
6	2	0
6	12	0
6	4	0
6	14	0
6	6	0
6	15	0
6	16	0
7	8	1
7	11	0
7	13	0
8	3	1
8	10	0
8	18	0
8	9	0
9	5	1
9	19	0
10	17	1
10	7	0
11	1	1
11	2	0
11	10	0
11	4	0
11	13	0
11	6	0
11	11	0
11	8	0
12	16	0
12	9	0
12	5	0
13	17	1
13	3	0
13	7	0
13	12	0
14	19	1
14	14	0
15	15	1
15	18	0
16	1	1
16	17	0
16	19	0
16	5	0
16	7	0
16	9	0
16	15	0
17	16	1
17	3	0
17	14	0
17	4	0
18	2	1
18	8	0
18	6	0
18	18	0
19	12	1
19	10	0
20	11	1
20	13	0
21	1	1
21	2	0
21	12	0
21	14	0
21	18	0
21	3	0
21	11	0
21	16	0
22	8	1
22	6	0
22	4	0
22	5	0
23	17	1
23	9	0
23	13	0
24	10	1
24	19	0
25	15	1
25	7	0
26	1	1
26	17	0
26	10	0
26	4	0
26	13	0
26	6	0
26	15	0
26	8	0
27	9	0
27	5	0
27	14	0
28	2	1
28	16	0
28	3	0
28	7	0
29	19	1
29	12	0
30	11	1
30	18	0
31	1	1
31	2	0
31	19	0
31	5	0
31	7	0
31	9	0
31	11	0
32	16	1
32	3	0
32	14	0
32	4	0
33	17	1
33	8	0
33	6	0
33	18	0
34	12	1
34	10	0
35	15	1
35	13	0
36	1	1
36	17	0
36	12	0
36	14	0
36	18	0
36	3	0
36	15	0
36	16	0
37	8	1
37	6	0
37	4	0
37	5	0
38	2	1
38	9	0
38	13	0
39	10	1
39	19	0
40	11	1
40	7	0
41	1	1
41	2	0
41	10	0
41	4	0
41	13	0
41	6	0
41	11	0
41	8	0
42	9	0
42	5	0
42	14	0
43	17	1
43	16	0
43	3	0
43	7	0
44	19	1
44	12	0
45	15	1
45	18	0
46	1	1
46	17	0
46	19	0
46	5	0
46	7	0
46	9	0
46	15	0
47	16	1
47	3	0
47	14	0
47	4	0
48	2	1
48	8	0
48	6	0
48	18	0
49	12	1
49	10	0
50	11	1
50	13	0
51	1	1
51	3	0
51	18	0
51	12	0
51	14	0
51	13	0
51	2	0
51	4	0
52	17	1
52	8	0
52	6	0
52	7	0
53	16	1
53	5	0
53	11	0
54	19	1
54	9	0
55	15	1
55	10	0
56	1	1
56	6	0
56	10	0
56	11	0
56	8	0
56	9	0
56	15	0
57	3	1
57	7	0
57	16	0
57	14	0
58	17	1
58	4	0
58	12	0
58	5	0
59	18	1
59	13	0
60	2	1
60	19	0
61	1	1
61	16	0
61	19	0
