1	1	1
1	2	0
1	24	0
1	6	0
1	27	0
1	8	0
1	26	0
2	23	1
2	10	0
2	22	0
2	21	0
3	14	1
3	18	0
3	9	0
3	17	0
4	19	1
4	7	0
5	5	1
5	13	0
6	1	1
6	2	0
6	18	0
6	6	0
6	21	0
6	8	0
6	22	0
6	23	0
7	10	1
7	17	0
7	19	0
8	5	1
8	14	0
8	26	0
8	13	0
9	7	1
9	27	0
10	24	1
10	9	0
11	1	1
11	2	0
11	14	0
11	6	0
11	19	0
11	8	0
11	17	0
11	10	0
12	23	0
12	13	0
12	7	0
13	24	1
13	5	0
13	9	0
13	18	0
14	27	1
14	21	0
15	22	1
15	26	0
16	1	1
16	24	0
16	27	0
16	7	0
16	9	0
16	13	0
16	22	0
17	23	1
17	5	0
17	21	0
17	6	0
18	2	1
18	10	0
18	8	0
18	26	0
19	18	1
19	14	0
20	17	1
20	19	0
21	1	1
21	2	0
21	18	0
21	21	0
21	26	0
21	5	0
21	17	0
21	23	0
22	10	1
22	8	0
22	6	0
22	7	0
23	24	1
23	13	0
23	19	0
24	14	1
24	27	0
25	22	1
25	9	0
26	1	1
26	24	0
26	14	0
26	6	0
26	19	0
26	8	0
26	22	0
26	10	0
27	13	0
27	7	0
27	21	0
28	2	1
28	23	0
28	5	0
28	9	0
29	27	1
29	18	0
30	17	1
30	26	0
31	1	1
31	2	0
31	27	0
31	7	0
31	9	0
31	13	0
31	17	0
32	23	1
32	5	0
32	21	0
32	6	0
33	24	1
33	10	0
33	8	0
33	26	0
34	18	1
34	14	0
35	22	1
35	19	0
36	1	1
36	24	0
36	18	0
36	21	0
36	26	0
36	5	0
36	22	0
36	23	0
37	10	1
37	8	0
37	6	0
37	7	0
38	2	1
38	13	0
38	19	0
39	14	1
39	27	0
40	17	1
40	9	0
41	1	1
41	2	0
41	14	0
41	6	0
41	19	0
41	8	0
41	17	0
41	10	0
42	13	0
42	7	0
42	21	0
43	24	1
43	23	0
43	5	0
43	9	0
44	27	1
44	18	0
45	22	1
45	26	0
46	1	1
46	24	0
46	27	0
46	7	0
46	9	0
46	13	0
46	22	0
47	23	1
47	5	0
47	21	0
47	6	0
48	2	1
48	10	0
48	8	0
48	26	0
49	18	1
49	14	0
50	17	1
50	19	0
51	1	1
51	5	0
51	26	0
51	18	0
51	21	0
51	19	0
51	2	0
51	6	0
52	24	1
52	10	0
52	8	0
52	9	0
53	23	1
53	7	0
53	17	0
54	27	1
54	13	0
55	22	1
55	14	0
56	1	1
56	8	0
56	14	0
56	17	0
56	10	0
56	13	0
56	22	0
57	5	1
57	9	0
57	23	0
57	21	0
58	24	1
58	6	0
58	18	0
58	7	0
59	26	1
59	19	0
60	2	1
60	27	0
61	1	1
61	23	0
61	27	0
