1.0000,56.0000,49.0000,1.0000,0.4818,31.0000,0.9711,0.8000
10.0000,335.0000,53.0000,0.8216,0.7119,34.0000,0.7918,0.7328
13.0000,337.0000,53.0000,0.8907,0.7836,34.0000,0.8363,0.8134
14.0000,150.0000,53.0000,0.9833,0.5833,34.0000,0.8608,0.7367
17.0000,143.0000,52.0000,0.9377,0.6034,33.0000,0.8728,0.7345
18.0000,323.0000,53.0000,0.7337,0.5692,34.0000,0.6942,0.5954
19.0000,330.0000,53.0000,0.7867,0.7030,34.0000,0.7765,0.7288
2.0000,99.0000,53.0000,1.0000,0.7650,34.0000,0.9329,0.7200
21.0000,228.0000,53.0000,0.8247,0.6609,34.0000,0.7912,0.6370
22.0000,125.0000,50.0000,1.0000,0.7200,31.0000,0.9390,0.8360
23.0000,287.0000,53.0000,0.8583,0.7211,34.0000,0.8339,0.7702
24.0000,321.0000,52.0000,0.7887,0.6344,33.0000,0.7494,0.6609
26.0000,292.0000,53.0000,0.8526,0.7017,34.0000,0.8068,0.7000
27.0000,98.0000,53.0000,1.0000,0.6900,34.0000,0.9385,0.7150
5.0000,253.0000,53.0000,0.8559,0.6824,34.0000,0.7842,0.6765
6.0000,296.0000,53.0000,0.8190,0.6881,34.0000,0.7932,0.7288
7.0000,318.0000,53.0000,0.8614,0.7719,34.0000,0.8508,0.8063
8.0000,179.0000,52.0000,0.8545,0.5806,33.0000,0.8203,0.6472
9.0000,225.0000,53.0000,0.8350,0.6778,34.0000,0.7761,0.6756
