1	37	1	2012-09-04 17:22:48
1	10	1	2012-09-04 17:30:49
1	24	1	2012-09-04 17:32:54
1	66	1	2012-09-04 17:35:32
1	27	-1	2012-09-04 17:38:22
1	51	1	2012-09-04 17:39:57
1	9	1	2012-09-04 17:40:04
1	7	1	2012-09-04 17:40:26
1	27	1	2012-09-04 17:42:39
1	22	1	2012-09-04 17:45:12
1	8	1	2012-09-04 17:46:45
1	45	1	2012-09-04 17:48:01
1	37	-1	2012-09-04 17:48:13
1	68	1	2012-09-04 17:50:25
1	52	1	2012-09-04 17:51:49
1	18	1	2012-09-04 17:52:45
1	29	1	2012-09-04 17:54:11
1	15	1	2012-09-04 17:55:31
1	14	1	2012-09-04 17:56:41
1	1	1	2012-09-04 17:58:40
1	52	1	2012-09-04 17:59:33
1	27	1	2012-09-04 18:00:50
1	34	1	2012-09-04 18:02:19
1	1	1	2012-09-04 18:02:46
1	13	1	2012-09-04 18:03:02
1	69	1	2012-09-04 18:10:19
1	24	1	2012-09-04 18:04:56
1	57	1	2012-09-04 18:04:02
1	47	1	2012-09-04 18:08:31
1	26	-1	2012-09-04 18:09:47
1	41	1	2012-09-04 18:09:53
1	7	1	2012-09-04 18:11:29
1	34	1	2012-09-04 18:14:19
1	10	1	2012-09-04 18:14:58
1	33	1	2012-09-04 18:16:53
1	7	1	2012-09-04 18:18:22
1	66	1	2012-09-04 18:20:10
1	2	1	2012-09-04 18:21:04
1	52	1	2012-09-04 18:21:42
1	38	1	2012-09-04 18:23:03
1	41	1	2012-09-04 18:23:48
1	38	1	2012-09-04 18:24:04
1	30	1	2012-09-04 18:24:43
1	19	1	2012-09-04 18:24:56
1	68	1	2012-09-04 18:25:46
1	55	1	2012-09-04 18:26:11
1	41	1	2012-09-04 18:26:40
1	3	1	2012-09-04 18:26:58
1	56	1	2012-09-04 18:27:14
1	71	1	2012-09-04 18:27:40
1	38	1	2012-09-04 18:28:03
1	59	1	2012-09-04 18:28:21
1	6	1	2012-09-04 18:28:40
1	2	1	2012-09-04 18:28:52
1	21	1	2012-09-04 18:29:11
1	5	1	2012-09-04 18:52:54
2	49	1	2012-09-04 17:21:10
